Title,Corp,Condition,Location,Tag,Link
[경력] Backend Engineer,(주)알체라,경력 3~6년학력무관정규직,경기전체,"API, AWS, 백엔드/서버개발, SaaS, 클라우드 외 수정일 22/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43582124
[TmaxTibero/R&D] DBMS Engine 개발자,(주)티맥스소프트,경력무관대졸↑정규직,경기성남시 분당구,"MySQL, R, 알고리즘, SQL, DBMS 외 수정일 22/10/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44302557
모바일 앱 보안 솔루션 개발 - 사이버 보안 벤처기업,(주)스틸리언,경력무관학력무관정규직,서울용산구,"유지보수, C++, 클라우드, iOS, Android 외 수정일 22/10/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44072050
태양광 시스템 MLPE 인베디드 엔지니어 모집,퍼스트실리콘(주),경력5년↑대졸↑정규직,서울금천구,"C++, S/W, 임베디드, 알고리즘, 펌웨어 외 등록일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44456911
더에르고 중국 무역(수입) 업무 담당자 모집,(주)에르모어,신입고졸↑정규직·계약직,경기용인시 처인구,"영업, 생산, 생산관리, 무역사무원, 무역거래 외 수정일 22/10/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44269427
IOS 서비스 / Mac 신입/경력 사원 채용,(주)모니터랩,신입·경력초대졸↑정규직,서울구로구,"Objective-C, 유지보수, C++, MacOS, iOS 외 수정일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43962829
"머신비전 [기술지원, 기술영업] 신입 및 경력 모집",㈜씽크론,경력무관초대졸↑정규직,서울구로구,"API, C언어, 유지보수, VisualC·C++, PLC 외 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44459731
2022 (주)다솔 인사팀(신입/경력) 채용,농업회사법인(주)다솔,신입·경력학력무관계약직,광주남구,"인사, 식품가공 수정일 22/11/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44145245
(주)펠릭스테크 금속 가공직(CNC) 운영 경력직 채용,(주)펠릭스테크,"경력2년↑고졸↑정규직4,400 만원",부산강서구,"주조/단조, 금속, 금속 수정일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44454069
[플랜티엠] - 영상 및 콘텐츠 디자인 계약직 채용(충원),(주)플랜티엠,경력무관초대졸↑계약직,경기성남시 분당구,"애프터이펙트, PhotoShop, 모션그래픽, 일러스트레이터, 일러스트 외 수정일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44357167
[빅픽처팀] 아트팀 2D 애니메이터 채용,(주)빅픽처팀,경력무관학력무관정규직,서울강남구,"PhotoShop, 원화, 애니메이터, 만화/웹툰, 2D디자인 외 등록일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44353387
"[하반기] Microsoft 시스템 엔지니어 (Server, Microsoft 365)",씨앤토트㈜,경력무관학력무관정규직,서울서초구,"유지보수, 클라우드, 솔루션, 네트워크, 기술지원 외 등록일 22/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44118892
[칠석의료재단] 사랑의병원 본관 영상의학 방사선사 모집,(의료)칠석의료재단,경력무관초대졸↑정규직,경기안산시 상록구,"방사선사, 영상의학과, 당직, 종합병원 수정일 22/10/28",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44218541
[슈프리마AI] 얼굴인식/비디오 분석 인공지능 소프트웨어 개발자,(주)슈프리마,경력2년↑대졸↑정규직,경기성남시 분당구,"API, 컴퓨터비전, 크롤링, C++, 클라우드 외 수정일 22/11/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44265455
이카운트 웹메일(mail)개발 경력채용,(주)이카운트,경력2년↑학력무관정규직,서울구로구,"유지보수, VisualC·C++, C#, 백엔드/서버개발, TypeScript 외 등록일 22/11/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44405152
워터마크 제품 개발팀장,잉카엔트웍스,경력10년↑학력무관정규직,서울강남구,"API, 컴퓨터비전, C++, SaaS, 클라우드 외 수정일 22/10/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44187821
웹 에이전시 [기업컨설턴트] 모집,(주)컨설트인사이드,경력무관학력무관정규직,서울금천구,"기획, 웹기획, 기업컨설턴트, 웹에이전시 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44462843
