Title,Corp,Condition,Location,Tag,Link
R&D센터 연구원 채용 (각 부문별),(주)프로셀테라퓨틱스,경력무관대졸↑정규직,서울구로구,"연구원, R&D, 신소재, 의약·제약, 바이오 외 수정일 22/10/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44261122
[스타랩스] 웹개발자 초/중/고/특급 채용,주식회사 스타랩스,경력무관초대졸↑정규직·프리랜서,서울강남구,"Python, Java, AWS, 웹개발, Linux 외 수정일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44262285
(주)모팩애니메이션 Supervisor 및 운영팀 채용,주식회사 모팩애니메이션,신입·경력학력무관정규직·계약직,서울강남구,"보정/리터칭, 애니메이션, 영상제작, 영상편집, 애니메이터 외 등록일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44374148
부산/서울/전국]웹 및 앱 개발자 경력/신입 채용 공고,하이데브(HighDev),경력무관학력무관정규직,부산부산진구,"Python, AWS, 웹개발, 백엔드/서버개발, 프론트엔드 외 수정일 22/10/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44036104
[제이어스] 프론트엔드/백엔드/C++/안드로이드/iOS 개발자 채용,제이어스(주),경력무관대졸↑정규직,부산사상구,"Java, C++, Linux, 백엔드/서버개발, 퍼블리셔 외 수정일 22/10/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44159329
2022년 생물정보학 전문가 채용 - 암조기진단 플랫폼 개발(서울),(주)아이엠비디엑스,경력무관석사↑정규직,서울금천구,"빅데이터, 생명과학, 의료기기연구, 임상개발, 모델링 외 등록일 22/11/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44410569
R&D 사업 기획 및 수행 경력 채용,(재)한국조명아이씨티연구원,경력1년↑대졸↑정규직,경기부천시,"연구원, R&D, R&D기획, 기술연구, 전자파 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44396523
System Software Engineer,(주)퓨리오사에이아이,경력5년↑대졸↑,서울강남구,"Python, C++, SE(시스템엔지니어), 펌웨어, AI(인공지능) 외 수정일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44341923
[반도체IC칩] Digital System 설계&검증 Engineer(최고수준대우),(주)원세미콘,경력무관대졸↑정규직·계약직,경기수원시 영통구,"회로설계, 반도체설계, 반도체, 반도체, Verilog 외 수정일 22/10/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44065900
2022년 생물정보학 전문가 채용 - 암조기진단 플랫폼 개발(대전),(주)아이엠비디엑스,경력무관석사↑정규직,대전서구,"빅데이터, 생명과학, 의료기기연구, 임상개발, 모델링 외 등록일 22/11/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44410607
