Title,Corp,Condition,Location,Tag,Link
단순생산직 사원 채용(경력무관),(주)러스트케미칼,경력무관학력무관정규직,인천남동구,"단순생산직, 생산, 포장, 화학 등록일 22/11/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44470045
2022년 하반기 대우조선해양 협력업체 플랜트 작업 공정,(주)인트러스트에너지솔루션,경력2년↑학력무관정규직340 만원,경남거제시,"생산관리, 전계장, 공정관리, 전계장, 조선 수정일 22/10/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44305234
Java/ Kotlin 개발자,포스트보이저 주식회사(영업소),경력 3~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 인프라 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44465766
[대웅그룹/IDS&TRUST] 헬스케어포털서비스 Back-end개발자 모집,(주)아이디에스앤트러스트,경력5년↑학력무관정규직,서울강남구,"백엔드/서버개발, 웹개발, 퍼블리셔, 유지보수, 솔루션 외 등록일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44347769
[이노그리드] R&D 개발센터 경력 채용 DevOps팀,(주)이노그리드,경력무관학력무관정규직,서울중구,"빅데이터, 임베디드, 클라우드, DevOps, C++ 외 수정일 22/09/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44101486
핀테크기업 [(주)캐시멜로] 백엔드 개발자 채용(경력 3년이상),(주)캐시멜로,경력 3~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, DBA, SE(시스템엔지니어), MyBatis 외 수정일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44048775
서버 개발자(GoLang),포스트보이저 주식회사(영업소),경력 5~10년석사↑정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 블록체인 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44465791
해외 영업(영어권/중화권/일어권)을 담당할 인재를 모집,(주)코러스트,"경력무관대졸↑정규직·인턴직5,000 만원",경기안양시 동안구,"해외영업, 무역영어, 바이어발굴/관리, 글로벌마케팅, 제조업 회사본사 등록일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44375331
[경력&신입] 반려동물용 의료기기 R&D 정규직 채용,(주)비트러스트메디텍,"신입·경력대졸↑정규직3,000 (면접 후 협의)",서울송파구,"R&D, 연구원, 연구소 등록일 22/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44067877
여성의류 브랜드 경영지원 경리업무 및 사무보조,원더러스트,경력무관학력무관정규직,서울중구,"사무보조, 쇼핑몰관리, CS관리, 경영지원, 섬유 외 수정일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44295800
[디자이너 브랜드 엘런아크] 온라인 MD 채용합니다 (경력무관),원더러스트,"경력무관초대졸↑정규직3,000 만원",서울중구,"브랜드MD, 영업MD, 온라인MD, 매출관리, 패션MD 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44407130
소프트웨어 엔지니어 (Software Engineer),(주)아인시스에이아이랩,신입·경력대졸↑정규직,서울전체,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44102048
AIoT ( AI IoT) 시스템 개발,㈜테크노니아,신입·경력초대졸↑정규직,서울구로구,"클라우드, IoT, AI(인공지능), AWS, Javascript 외 수정일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44413859
(주)코인플러그 Defi팀 직원 모집,(주)코인플러그,경력무관학력무관정규직,경기성남시 수정구,"블록체인, 사업기획, 서비스기획, 솔루션, 알고리즘 외 등록일 22/11/01",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44339360
"의료기기 조립, 검사, 생산기술 업무를 담당할 역량있는 인재",(주)코러스트,신입·경력고졸↑정규직,경기안양시 동안구,"단순생산직, 전자제어, 조립, H/W, 생산 외 수정일 22/10/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44326599
백엔드 개발자 (경력),(주)젠스타메이트,경력 5~12년대졸↑정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, DBA, RDBMS 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43640215
국내 영업(B2B/B2C) 분야 인재 모집,(주)코러스트,"신입·경력초대졸↑정규직4,500 만원",경기안양시 동안구,"영업관리, 영업직, 판매직, 영업전략, 의료기기영업 외 등록일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44349822
iOS 어플리케이션 개발/운영 경력직 모집,(주)아이디에스앤트러스트,경력 3~10년학력무관정규직,서울전체,"앱개발, Android, Flutter, iOS, Objective-C 외 등록일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44456458
Solidity 개발자,포스트보이저 주식회사(영업소),경력 3~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 인프라 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44465792
[빗썸메타] 메타개발실 Block Chain 개발 경력자 모집합니다.,주식회사 빗썸메타,경력무관초대졸↑정규직,서울강남구,"기술지원, 데이터분석가, 데이터엔지니어, 블록체인, SOA 외 등록일 22/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44132770
"2022년 하반기 제품기획/제형개발/총무/재무회계 신입,경력 채용",(주)웨트러스트,경력무관초대졸↑정규직,경기성남시 분당구,"더존, 계산서발행, 법인결산, 법인세신고, 부가세신고 외 등록일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44449379
[더스크랙] 성장하는 기업에서 CS 매니저를 찾습니다,(주)더스크랙,경력무관학력무관정규직,서울강서구,"고객응대, CS관리, 상담원, CS, CX매니저 외 수정일 22/11/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44245806
Web개발/운영 경력직 모집,(주)아이디에스앤트러스트,경력 3~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA 외 수정일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43618416
[StayKing] Contract Developer,(주)수호아이오,경력 1~8년대졸↑정규직,서울전체,"웹개발, 프론트엔드, DBA, SE(시스템엔지니어), 딥러닝 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44255834
Solana 컨트랙트 개발자,(주)메인메타,경력 1~20년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 블록체인, 소프트웨어개발 수정일 22/03/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41416938
"의료기기 개발 기획, 국책 과제 관리 및 인증 전문가",(주)코러스트,"신입·경력대졸↑정규직6,000 만원",경기안양시 동안구,"임상시험, 연구원, R&D, R&D기획, 기술연구 외 등록일 22/10/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44326687
